"","parameter","Value","Std. Error","p value","Odds","antibiotic","bacteria"
"271","key_sourceblood",0.006,0.022,0.778,1.006,"piperacillin tazobactam","Pseudomonas aeruginosa"
"272","key_sourcegastro",0.128,0.034,0,1.136,"piperacillin tazobactam","Pseudomonas aeruginosa"
"273","key_sourcerespiratory",0.162,0.018,0,1.176,"piperacillin tazobactam","Pseudomonas aeruginosa"
"274","key_sourceurine",0.142,0.022,0,1.153,"piperacillin tazobactam","Pseudomonas aeruginosa"
"275","key_sourcewound",-0.029,0.02,0.14,0.972,"piperacillin tazobactam","Pseudomonas aeruginosa"
"276","year_scaled",0.013,0.001,0,1.013,"piperacillin tazobactam","Pseudomonas aeruginosa"
"277","age_group0 to 2 Years",-0.133,0.037,0,0.876,"tigecycline","Pseudomonas aeruginosa"
"278","age_group3 to 12 Years",-0.103,0.037,0.005,0.902,"tigecycline","Pseudomonas aeruginosa"
"279","age_group13 to 18 Years",-0.121,0.048,0.011,0.886,"tigecycline","Pseudomonas aeruginosa"
"280","age_group65 to 84 Years",-0.083,0.016,0,0.921,"tigecycline","Pseudomonas aeruginosa"
"281","age_group85 and Over",-0.234,0.027,0,0.792,"tigecycline","Pseudomonas aeruginosa"
"282","genderm",0.085,0.014,0,1.089,"tigecycline","Pseudomonas aeruginosa"
"283","key_sourceblood",-0.053,0.028,0.06,0.948,"tigecycline","Pseudomonas aeruginosa"
"284","key_sourcegastro",0.11,0.045,0.014,1.116,"tigecycline","Pseudomonas aeruginosa"
"285","key_sourcerespiratory",-0.012,0.023,0.584,0.988,"tigecycline","Pseudomonas aeruginosa"
"286","key_sourceurine",0.162,0.029,0,1.175,"tigecycline","Pseudomonas aeruginosa"
"287","key_sourcewound",-0.014,0.025,0.566,0.986,"tigecycline","Pseudomonas aeruginosa"
"288","year_scaled",-0.12,0.002,0,0.887,"tigecycline","Pseudomonas aeruginosa"
"289","age_group0 to 2 Years",0.004,0.053,0.942,1.004,"trimethoprim sulfa","Pseudomonas aeruginosa"
"290","age_group3 to 12 Years",-0.194,0.053,0,0.824,"trimethoprim sulfa","Pseudomonas aeruginosa"
"291","age_group13 to 18 Years",-0.094,0.072,0.195,0.911,"trimethoprim sulfa","Pseudomonas aeruginosa"
"292","age_group65 to 84 Years",-0.097,0.022,0,0.908,"trimethoprim sulfa","Pseudomonas aeruginosa"
"293","age_group85 and Over",-0.262,0.039,0,0.769,"trimethoprim sulfa","Pseudomonas aeruginosa"
"294","genderm",0.162,0.02,0,1.176,"trimethoprim sulfa","Pseudomonas aeruginosa"
"295","key_sourceblood",0.005,0.044,0.901,1.005,"trimethoprim sulfa","Pseudomonas aeruginosa"
"296","key_sourcegastro",0.109,0.067,0.104,1.115,"trimethoprim sulfa","Pseudomonas aeruginosa"
"297","key_sourcerespiratory",-0.122,0.038,0.001,0.885,"trimethoprim sulfa","Pseudomonas aeruginosa"
"298","key_sourceurine",0.108,0.046,0.018,1.114,"trimethoprim sulfa","Pseudomonas aeruginosa"
"299","key_sourcewound",-0.07,0.041,0.088,0.933,"trimethoprim sulfa","Pseudomonas aeruginosa"
"300","year_scaled",-0.202,0.009,0,0.817,"trimethoprim sulfa","Pseudomonas aeruginosa"
"301","age_group0 to 2 Years",-0.049,0.027,0.069,0.952,"amikacin","Escherichia coli"
"302","age_group3 to 12 Years",-0.056,0.03,0.064,0.946,"amikacin","Escherichia coli"
"303","age_group13 to 18 Years",-0.059,0.039,0.129,0.943,"amikacin","Escherichia coli"
"304","age_group65 to 84 Years",-0.029,0.012,0.02,0.972,"amikacin","Escherichia coli"
"305","age_group85 and Over",-0.021,0.02,0.301,0.979,"amikacin","Escherichia coli"
"306","genderm",0.045,0.011,0,1.046,"amikacin","Escherichia coli"
"307","key_sourceblood",-0.122,0.017,0,0.885,"amikacin","Escherichia coli"
"308","key_sourcegastro",0.001,0.025,0.968,1.001,"amikacin","Escherichia coli"
"309","key_sourcerespiratory",0.138,0.021,0,1.148,"amikacin","Escherichia coli"
"310","key_sourceurine",0.059,0.017,0,1.061,"amikacin","Escherichia coli"
"311","key_sourcewound",0.086,0.019,0,1.09,"amikacin","Escherichia coli"
"312","year_scaled",0.023,0.001,0,1.023,"amikacin","Escherichia coli"
"313","age_group0 to 2 Years",-0.165,0.027,0,0.848,"amoxycillin clavulanate","Escherichia coli"
"314","age_group3 to 12 Years",-0.119,0.032,0,0.888,"amoxycillin clavulanate","Escherichia coli"
"315","age_group13 to 18 Years",-0.156,0.04,0,0.855,"amoxycillin clavulanate","Escherichia coli"
"316","age_group65 to 84 Years",0.002,0.012,0.884,1.002,"amoxycillin clavulanate","Escherichia coli"
"317","age_group85 and Over",-0.049,0.02,0.017,0.953,"amoxycillin clavulanate","Escherichia coli"
"318","genderm",0.143,0.011,0,1.153,"amoxycillin clavulanate","Escherichia coli"
"319","key_sourceblood",-0.166,0.017,0,0.847,"amoxycillin clavulanate","Escherichia coli"
"320","key_sourcegastro",-0.033,0.025,0.179,0.967,"amoxycillin clavulanate","Escherichia coli"
"321","key_sourcerespiratory",0.256,0.021,0,1.292,"amoxycillin clavulanate","Escherichia coli"
"322","key_sourceurine",0.037,0.017,0.032,1.037,"amoxycillin clavulanate","Escherichia coli"
"323","key_sourcewound",0.11,0.02,0,1.116,"amoxycillin clavulanate","Escherichia coli"
"324","year_scaled",-0.036,0.001,0,0.965,"amoxycillin clavulanate","Escherichia coli"
"325","age_group0 to 2 Years",-0.029,0.029,0.323,0.972,"ampicillin","Escherichia coli"
"326","age_group3 to 12 Years",-0.023,0.034,0.491,0.977,"ampicillin","Escherichia coli"
"327","age_group13 to 18 Years",-0.16,0.042,0,0.853,"ampicillin","Escherichia coli"
"328","age_group65 to 84 Years",-0.025,0.013,0.053,0.975,"ampicillin","Escherichia coli"
"329","age_group85 and Over",-0.06,0.021,0.005,0.941,"ampicillin","Escherichia coli"
"330","genderm",0.099,0.012,0,1.104,"ampicillin","Escherichia coli"
"331","key_sourceblood",-0.188,0.018,0,0.829,"ampicillin","Escherichia coli"
"332","key_sourcegastro",-0.091,0.026,0.001,0.913,"ampicillin","Escherichia coli"
"333","key_sourcerespiratory",0.185,0.023,0,1.203,"ampicillin","Escherichia coli"
"334","key_sourceurine",-0.016,0.018,0.371,0.984,"ampicillin","Escherichia coli"
"335","key_sourcewound",0.093,0.021,0,1.097,"ampicillin","Escherichia coli"
"336","year_scaled",-0.074,0.001,0,0.929,"ampicillin","Escherichia coli"
"337","age_group0 to 2 Years",-0.092,0.053,0.082,0.912,"ampicillin sulbactam","Escherichia coli"
"338","age_group3 to 12 Years",-0.231,0.065,0,0.794,"ampicillin sulbactam","Escherichia coli"
"339","age_group13 to 18 Years",-0.076,0.082,0.355,0.927,"ampicillin sulbactam","Escherichia coli"
"340","age_group65 to 84 Years",-0.067,0.025,0.006,0.935,"ampicillin sulbactam","Escherichia coli"
"341","age_group85 and Over",-0.203,0.041,0,0.816,"ampicillin sulbactam","Escherichia coli"
"342","genderm",0.169,0.023,0,1.184,"ampicillin sulbactam","Escherichia coli"
"343","key_sourceblood",0.033,0.036,0.356,1.034,"ampicillin sulbactam","Escherichia coli"
"344","key_sourcegastro",-0.031,0.052,0.55,0.969,"ampicillin sulbactam","Escherichia coli"
"345","key_sourcerespiratory",0.33,0.046,0,1.391,"ampicillin sulbactam","Escherichia coli"
"346","key_sourceurine",0.224,0.037,0,1.251,"ampicillin sulbactam","Escherichia coli"
"347","key_sourcewound",0.142,0.043,0.001,1.153,"ampicillin sulbactam","Escherichia coli"
"348","year_scaled",-0.294,0.01,0,0.745,"ampicillin sulbactam","Escherichia coli"
"349","age_group0 to 2 Years",-0.271,0.04,0,0.763,"aztreonam","Escherichia coli"
"350","age_group3 to 12 Years",-0.402,0.045,0,0.669,"aztreonam","Escherichia coli"
"351","age_group13 to 18 Years",-0.262,0.055,0,0.769,"aztreonam","Escherichia coli"
"352","age_group65 to 84 Years",0.017,0.017,0.32,1.017,"aztreonam","Escherichia coli"
"353","age_group85 and Over",-0.079,0.029,0.007,0.924,"aztreonam","Escherichia coli"
"354","genderm",0.165,0.016,0,1.18,"aztreonam","Escherichia coli"
"355","key_sourceblood",-0.044,0.027,0.102,0.957,"aztreonam","Escherichia coli"
"356","key_sourcegastro",-0.011,0.033,0.737,0.989,"aztreonam","Escherichia coli"
"357","key_sourcerespiratory",0.222,0.029,0,1.248,"aztreonam","Escherichia coli"
"358","key_sourceurine",0.214,0.024,0,1.238,"aztreonam","Escherichia coli"
"359","key_sourcewound",0.109,0.026,0,1.115,"aztreonam","Escherichia coli"
"360","year_scaled",0,0.003,0.98,1,"aztreonam","Escherichia coli"
"361","age_group0 to 2 Years",-0.261,0.04,0,0.77,"aztreonam avibactam","Escherichia coli"
"362","age_group3 to 12 Years",-0.307,0.045,0,0.736,"aztreonam avibactam","Escherichia coli"
"363","age_group13 to 18 Years",-0.126,0.057,0.027,0.882,"aztreonam avibactam","Escherichia coli"
"364","age_group65 to 84 Years",0.053,0.018,0.003,1.054,"aztreonam avibactam","Escherichia coli"
"365","age_group85 and Over",0.008,0.03,0.791,1.008,"aztreonam avibactam","Escherichia coli"
"366","genderm",0.084,0.016,0,1.088,"aztreonam avibactam","Escherichia coli"
"367","key_sourceblood",-0.13,0.028,0,0.878,"aztreonam avibactam","Escherichia coli"
"368","key_sourcegastro",-0.023,0.034,0.501,0.977,"aztreonam avibactam","Escherichia coli"
"369","key_sourcerespiratory",0.043,0.03,0.153,1.044,"aztreonam avibactam","Escherichia coli"
"370","key_sourceurine",0.024,0.025,0.333,1.025,"aztreonam avibactam","Escherichia coli"
"371","key_sourcewound",-0.052,0.027,0.055,0.949,"aztreonam avibactam","Escherichia coli"
"372","year_scaled",-0.013,0.003,0,0.987,"aztreonam avibactam","Escherichia coli"
"373","age_group0 to 2 Years",-0.167,0.025,0,0.846,"cefepime","Escherichia coli"
"374","age_group3 to 12 Years",-0.292,0.029,0,0.747,"cefepime","Escherichia coli"
"375","age_group13 to 18 Years",-0.316,0.037,0,0.729,"cefepime","Escherichia coli"
"376","age_group65 to 84 Years",0.002,0.012,0.842,1.002,"cefepime","Escherichia coli"
"377","age_group85 and Over",-0.043,0.019,0.024,0.958,"cefepime","Escherichia coli"
"378","genderm",0.211,0.011,0,1.235,"cefepime","Escherichia coli"
"379","key_sourceblood",0.269,0.016,0,1.309,"cefepime","Escherichia coli"
"380","key_sourcegastro",0.208,0.023,0,1.231,"cefepime","Escherichia coli"
"381","key_sourcerespiratory",0.319,0.02,0,1.376,"cefepime","Escherichia coli"
"382","key_sourceurine",0.263,0.016,0,1.301,"cefepime","Escherichia coli"
"383","key_sourcewound",0.094,0.019,0,1.099,"cefepime","Escherichia coli"
"384","year_scaled",-0.117,0.001,0,0.89,"cefepime","Escherichia coli"
"385","age_group0 to 2 Years",-0.129,0.053,0.014,0.879,"cefoperazone sulbactam","Escherichia coli"
"386","age_group3 to 12 Years",-0.225,0.063,0,0.798,"cefoperazone sulbactam","Escherichia coli"
"387","age_group13 to 18 Years",-0.104,0.08,0.195,0.901,"cefoperazone sulbactam","Escherichia coli"
"388","age_group65 to 84 Years",-0.081,0.024,0.001,0.922,"cefoperazone sulbactam","Escherichia coli"
"389","age_group85 and Over",-0.267,0.04,0,0.766,"cefoperazone sulbactam","Escherichia coli"
"390","genderm",0.202,0.022,0,1.224,"cefoperazone sulbactam","Escherichia coli"
"391","key_sourceblood",0.055,0.036,0.123,1.057,"cefoperazone sulbactam","Escherichia coli"
"392","key_sourcegastro",0,0.052,0.999,1,"cefoperazone sulbactam","Escherichia coli"
"393","key_sourcerespiratory",0.317,0.046,0,1.373,"cefoperazone sulbactam","Escherichia coli"
"394","key_sourceurine",0.276,0.037,0,1.318,"cefoperazone sulbactam","Escherichia coli"
"395","key_sourcewound",0.176,0.042,0,1.192,"cefoperazone sulbactam","Escherichia coli"
"396","year_scaled",0.014,0.01,0.153,1.014,"cefoperazone sulbactam","Escherichia coli"
"397","age_group0 to 2 Years",-0.179,0.039,0,0.836,"ceftaroline","Escherichia coli"
"398","age_group3 to 12 Years",-0.291,0.044,0,0.747,"ceftaroline","Escherichia coli"
"399","age_group13 to 18 Years",-0.209,0.054,0,0.811,"ceftaroline","Escherichia coli"
"400","age_group65 to 84 Years",-0.022,0.017,0.207,0.979,"ceftaroline","Escherichia coli"
"401","age_group85 and Over",-0.154,0.029,0,0.857,"ceftaroline","Escherichia coli"
"402","genderm",0.168,0.016,0,1.183,"ceftaroline","Escherichia coli"
"403","key_sourceblood",0.041,0.026,0.121,1.041,"ceftaroline","Escherichia coli"
"404","key_sourcegastro",-0.006,0.033,0.847,0.994,"ceftaroline","Escherichia coli"
"405","key_sourcerespiratory",0.327,0.029,0,1.386,"ceftaroline","Escherichia coli"
"406","key_sourceurine",0.208,0.024,0,1.232,"ceftaroline","Escherichia coli"
"407","key_sourcewound",0.178,0.026,0,1.195,"ceftaroline","Escherichia coli"
"408","year_scaled",-0.017,0.003,0,0.983,"ceftaroline","Escherichia coli"
"409","age_group0 to 2 Years",-0.253,0.086,0.003,0.777,"ceftaroline avibactam","Escherichia coli"
"410","age_group3 to 12 Years",-0.334,0.088,0,0.716,"ceftaroline avibactam","Escherichia coli"
"411","age_group13 to 18 Years",-0.071,0.109,0.513,0.931,"ceftaroline avibactam","Escherichia coli"
"412","age_group65 to 84 Years",0.069,0.036,0.054,1.071,"ceftaroline avibactam","Escherichia coli"
"413","age_group85 and Over",0.009,0.064,0.886,1.009,"ceftaroline avibactam","Escherichia coli"
"414","genderm",0.078,0.033,0.019,1.081,"ceftaroline avibactam","Escherichia coli"
"415","key_sourceblood",-0.067,0.095,0.48,0.935,"ceftaroline avibactam","Escherichia coli"
"416","key_sourcegastro",-0.089,0.06,0.137,0.915,"ceftaroline avibactam","Escherichia coli"
"417","key_sourcerespiratory",0.224,0.055,0,1.251,"ceftaroline avibactam","Escherichia coli"
"418","key_sourceurine",0.046,0.045,0.312,1.047,"ceftaroline avibactam","Escherichia coli"
"419","key_sourcewound",-0.009,0.048,0.857,0.991,"ceftaroline avibactam","Escherichia coli"
"420","year_scaled",-0.142,0.021,0,0.867,"ceftaroline avibactam","Escherichia coli"
"421","age_group0 to 2 Years",-0.15,0.031,0,0.861,"ceftazidime","Escherichia coli"
"422","age_group3 to 12 Years",-0.288,0.036,0,0.749,"ceftazidime","Escherichia coli"
"423","age_group13 to 18 Years",-0.27,0.045,0,0.764,"ceftazidime","Escherichia coli"
"424","age_group65 to 84 Years",0.008,0.014,0.562,1.008,"ceftazidime","Escherichia coli"
"425","age_group85 and Over",-0.058,0.022,0.009,0.944,"ceftazidime","Escherichia coli"
"426","genderm",0.134,0.013,0,1.144,"ceftazidime","Escherichia coli"
"427","key_sourceblood",0.196,0.019,0,1.217,"ceftazidime","Escherichia coli"
"428","key_sourcegastro",-0.11,0.026,0,0.896,"ceftazidime","Escherichia coli"
"429","key_sourcerespiratory",0.13,0.023,0,1.139,"ceftazidime","Escherichia coli"
"430","key_sourceurine",0.105,0.019,0,1.111,"ceftazidime","Escherichia coli"
"431","key_sourcewound",-0.071,0.022,0.001,0.931,"ceftazidime","Escherichia coli"
"432","year_scaled",-0.09,0.002,0,0.914,"ceftazidime","Escherichia coli"
"433","age_group0 to 2 Years",-0.22,0.04,0,0.802,"ceftazidime avibactam","Escherichia coli"
"434","age_group3 to 12 Years",-0.291,0.045,0,0.748,"ceftazidime avibactam","Escherichia coli"
"435","age_group13 to 18 Years",-0.153,0.056,0.006,0.858,"ceftazidime avibactam","Escherichia coli"
"436","age_group65 to 84 Years",0.023,0.018,0.194,1.023,"ceftazidime avibactam","Escherichia coli"
"437","age_group85 and Over",-0.033,0.03,0.27,0.968,"ceftazidime avibactam","Escherichia coli"
"438","genderm",0.107,0.016,0,1.113,"ceftazidime avibactam","Escherichia coli"
"439","key_sourceblood",-0.022,0.027,0.417,0.978,"ceftazidime avibactam","Escherichia coli"
"440","key_sourcegastro",0.025,0.033,0.455,1.025,"ceftazidime avibactam","Escherichia coli"
"441","key_sourcerespiratory",0.107,0.03,0,1.113,"ceftazidime avibactam","Escherichia coli"
"442","key_sourceurine",0.089,0.025,0,1.094,"ceftazidime avibactam","Escherichia coli"
"443","key_sourcewound",0.008,0.027,0.772,1.008,"ceftazidime avibactam","Escherichia coli"
"444","year_scaled",0.031,0.003,0,1.031,"ceftazidime avibactam","Escherichia coli"
"445","age_group0 to 2 Years",-0.192,0.067,0.004,0.826,"ceftolozane tazobactam","Escherichia coli"
"446","age_group3 to 12 Years",-0.338,0.081,0,0.713,"ceftolozane tazobactam","Escherichia coli"
"447","age_group13 to 18 Years",-0.192,0.102,0.059,0.826,"ceftolozane tazobactam","Escherichia coli"
"448","age_group65 to 84 Years",0.031,0.031,0.318,1.032,"ceftolozane tazobactam","Escherichia coli"
"449","age_group85 and Over",-0.095,0.052,0.065,0.909,"ceftolozane tazobactam","Escherichia coli"
"450","genderm",0.209,0.029,0,1.233,"ceftolozane tazobactam","Escherichia coli"
"451","key_sourceblood",-0.09,0.047,0.054,0.914,"ceftolozane tazobactam","Escherichia coli"
"452","key_sourcegastro",0.019,0.065,0.769,1.019,"ceftolozane tazobactam","Escherichia coli"
"453","key_sourcerespiratory",0.128,0.056,0.022,1.137,"ceftolozane tazobactam","Escherichia coli"
"454","key_sourceurine",0.187,0.047,0,1.205,"ceftolozane tazobactam","Escherichia coli"
"455","key_sourcewound",0.144,0.052,0.006,1.155,"ceftolozane tazobactam","Escherichia coli"
"456","year_scaled",0.483,0.01,0,1.622,"ceftolozane tazobactam","Escherichia coli"
"457","age_group0 to 2 Years",-0.363,0.042,0,0.696,"ceftriaxone","Escherichia coli"
"458","age_group3 to 12 Years",-0.248,0.048,0,0.78,"ceftriaxone","Escherichia coli"
"459","age_group13 to 18 Years",-0.31,0.062,0,0.734,"ceftriaxone","Escherichia coli"
"460","age_group65 to 84 Years",0.009,0.018,0.613,1.009,"ceftriaxone","Escherichia coli"
"461","age_group85 and Over",0.003,0.029,0.919,1.003,"ceftriaxone","Escherichia coli"
"462","genderm",0.206,0.017,0,1.229,"ceftriaxone","Escherichia coli"
"463","key_sourceblood",-0.156,0.024,0,0.856,"ceftriaxone","Escherichia coli"
"464","key_sourcegastro",-0.066,0.038,0.085,0.937,"ceftriaxone","Escherichia coli"
"465","key_sourcerespiratory",0.137,0.03,0,1.147,"ceftriaxone","Escherichia coli"
"466","key_sourceurine",0.162,0.025,0,1.176,"ceftriaxone","Escherichia coli"
"467","key_sourcewound",0.005,0.029,0.864,1.005,"ceftriaxone","Escherichia coli"
"468","year_scaled",0.019,0.002,0,1.019,"ceftriaxone","Escherichia coli"
"469","age_group0 to 2 Years",-0.416,0.055,0,0.66,"ciprofloxacin","Escherichia coli"
"470","age_group3 to 12 Years",-0.446,0.065,0,0.64,"ciprofloxacin","Escherichia coli"
"471","age_group13 to 18 Years",-0.336,0.083,0,0.715,"ciprofloxacin","Escherichia coli"
"472","age_group65 to 84 Years",-0.022,0.026,0.395,0.979,"ciprofloxacin","Escherichia coli"
"473","age_group85 and Over",-0.219,0.042,0,0.803,"ciprofloxacin","Escherichia coli"
"474","genderm",0.207,0.023,0,1.23,"ciprofloxacin","Escherichia coli"
"475","key_sourceblood",-0.017,0.037,0.655,0.984,"ciprofloxacin","Escherichia coli"
"476","key_sourcegastro",0,0.053,0.994,1,"ciprofloxacin","Escherichia coli"
"477","key_sourcerespiratory",0.128,0.047,0.007,1.136,"ciprofloxacin","Escherichia coli"
"478","key_sourceurine",0.476,0.039,0,1.61,"ciprofloxacin","Escherichia coli"
"479","key_sourcewound",0.197,0.044,0,1.217,"ciprofloxacin","Escherichia coli"
"480","year_scaled",-0.312,0.01,0,0.732,"ciprofloxacin","Escherichia coli"
"481","age_group0 to 2 Years",-0.067,0.044,0.127,0.935,"colistin","Escherichia coli"
"482","age_group3 to 12 Years",-0.076,0.051,0.14,0.927,"colistin","Escherichia coli"
"483","age_group13 to 18 Years",-0.008,0.065,0.898,0.992,"colistin","Escherichia coli"
"484","age_group65 to 84 Years",-0.037,0.02,0.058,0.963,"colistin","Escherichia coli"
"485","age_group85 and Over",-0.093,0.033,0.005,0.911,"colistin","Escherichia coli"
"486","genderm",-0.004,0.018,0.83,0.996,"colistin","Escherichia coli"
"487","key_sourceblood",0.226,0.03,0,1.253,"colistin","Escherichia coli"
"488","key_sourcegastro",0.134,0.039,0.001,1.144,"colistin","Escherichia coli"
"489","key_sourcerespiratory",0.1,0.034,0.003,1.105,"colistin","Escherichia coli"
"490","key_sourceurine",0.148,0.028,0,1.16,"colistin","Escherichia coli"
"491","key_sourcewound",0.017,0.031,0.577,1.017,"colistin","Escherichia coli"
"492","year_scaled",-0.426,0.004,0,0.653,"colistin","Escherichia coli"
"493","age_group0 to 2 Years",-0.112,0.065,0.088,0.894,"doripenem","Escherichia coli"
"494","age_group3 to 12 Years",-0.12,0.069,0.081,0.887,"doripenem","Escherichia coli"
"495","age_group13 to 18 Years",0.115,0.085,0.174,1.122,"doripenem","Escherichia coli"
"496","age_group65 to 84 Years",0.019,0.027,0.481,1.019,"doripenem","Escherichia coli"
"497","age_group85 and Over",0.002,0.047,0.961,1.002,"doripenem","Escherichia coli"
"498","genderm",0.045,0.025,0.075,1.046,"doripenem","Escherichia coli"
"499","key_sourceblood",-0.09,0.052,0.082,0.914,"doripenem","Escherichia coli"
"500","key_sourcegastro",-0.033,0.048,0.486,0.967,"doripenem","Escherichia coli"
"501","key_sourcerespiratory",0.077,0.042,0.066,1.08,"doripenem","Escherichia coli"
"502","key_sourceurine",-0.053,0.036,0.137,0.948,"doripenem","Escherichia coli"
"503","key_sourcewound",-0.004,0.037,0.911,0.996,"doripenem","Escherichia coli"
"504","year_scaled",-0.021,0.008,0.005,0.979,"doripenem","Escherichia coli"
"505","age_group0 to 2 Years",-0.177,0.076,0.02,0.838,"doxycycline","Escherichia coli"
"506","age_group3 to 12 Years",-0.294,0.076,0,0.745,"doxycycline","Escherichia coli"
"507","age_group13 to 18 Years",-0.244,0.102,0.016,0.783,"doxycycline","Escherichia coli"
"508","age_group65 to 84 Years",0.079,0.037,0.034,1.082,"doxycycline","Escherichia coli"
"509","age_group85 and Over",-0.001,0.059,0.985,0.999,"doxycycline","Escherichia coli"
"510","genderm",0.24,0.035,0,1.271,"doxycycline","Escherichia coli"
"511","key_sourceblood",0.122,0.054,0.023,1.13,"doxycycline","Escherichia coli"
"512","key_sourcegastro",-0.038,0.137,0.78,0.962,"doxycycline","Escherichia coli"
"513","key_sourcerespiratory",0.236,0.065,0,1.267,"doxycycline","Escherichia coli"
"514","key_sourceurine",0.139,0.055,0.012,1.149,"doxycycline","Escherichia coli"
"515","key_sourcewound",0.158,0.062,0.011,1.171,"doxycycline","Escherichia coli"
"516","year_scaled",-0.065,0.01,0,0.937,"doxycycline","Escherichia coli"
"517","age_group0 to 2 Years",0.016,0.042,0.713,1.016,"gentamicin","Escherichia coli"
"518","age_group3 to 12 Years",-0.101,0.047,0.03,0.904,"gentamicin","Escherichia coli"
"519","age_group13 to 18 Years",-0.026,0.061,0.668,0.974,"gentamicin","Escherichia coli"
"520","age_group65 to 84 Years",-0.047,0.02,0.018,0.954,"gentamicin","Escherichia coli"
"521","age_group85 and Over",-0.093,0.033,0.004,0.912,"gentamicin","Escherichia coli"
"522","genderm",0.068,0.018,0,1.07,"gentamicin","Escherichia coli"
"523","key_sourceblood",-0.044,0.027,0.106,0.957,"gentamicin","Escherichia coli"
"524","key_sourcegastro",-0.113,0.041,0.006,0.893,"gentamicin","Escherichia coli"
"525","key_sourcerespiratory",0.031,0.034,0.356,1.032,"gentamicin","Escherichia coli"
"526","key_sourceurine",0.053,0.028,0.058,1.054,"gentamicin","Escherichia coli"
"527","key_sourcewound",0.038,0.034,0.257,1.039,"gentamicin","Escherichia coli"
"528","year_scaled",-0.061,0.006,0,0.94,"gentamicin","Escherichia coli"
"529","age_group0 to 2 Years",-0.053,0.035,0.128,0.949,"imipenem","Escherichia coli"
"530","age_group3 to 12 Years",-0.202,0.039,0,0.817,"imipenem","Escherichia coli"
"531","age_group13 to 18 Years",-0.105,0.049,0.032,0.901,"imipenem","Escherichia coli"
"532","age_group65 to 84 Years",-0.043,0.016,0.006,0.958,"imipenem","Escherichia coli"
"533","age_group85 and Over",-0.072,0.026,0.006,0.93,"imipenem","Escherichia coli"
"534","genderm",0.108,0.015,0,1.114,"imipenem","Escherichia coli"
"535","key_sourceblood",0.162,0.022,0,1.175,"imipenem","Escherichia coli"
"536","key_sourcegastro",0.248,0.032,0,1.282,"imipenem","Escherichia coli"
"537","key_sourcerespiratory",0.203,0.026,0,1.225,"imipenem","Escherichia coli"
"538","key_sourceurine",0.26,0.021,0,1.296,"imipenem","Escherichia coli"
"539","key_sourcewound",0.156,0.024,0,1.169,"imipenem","Escherichia coli"
"540","year_scaled",-0.046,0.002,0,0.955,"imipenem","Escherichia coli"
"541","age_group0 to 2 Years",-0.582,0.025,0,0.559,"levofloxacin","Escherichia coli"
"542","age_group3 to 12 Years",-0.55,0.028,0,0.577,"levofloxacin","Escherichia coli"
"543","age_group13 to 18 Years",-0.416,0.036,0,0.659,"levofloxacin","Escherichia coli"
"544","age_group65 to 84 Years",0.066,0.012,0,1.069,"levofloxacin","Escherichia coli"
"545","age_group85 and Over",0.032,0.019,0.095,1.032,"levofloxacin","Escherichia coli"
"546","genderm",0.221,0.011,0,1.247,"levofloxacin","Escherichia coli"
"547","key_sourceblood",0.042,0.016,0.008,1.042,"levofloxacin","Escherichia coli"
"548","key_sourcegastro",0.007,0.023,0.749,1.007,"levofloxacin","Escherichia coli"
"549","key_sourcerespiratory",0.158,0.019,0,1.171,"levofloxacin","Escherichia coli"
"550","key_sourceurine",0.269,0.016,0,1.308,"levofloxacin","Escherichia coli"
"551","key_sourcewound",0.168,0.018,0,1.183,"levofloxacin","Escherichia coli"
"552","year_scaled",0.08,0.001,0,1.083,"levofloxacin","Escherichia coli"
"553","age_group0 to 2 Years",0.059,0.033,0.074,1.061,"meropenem","Escherichia coli"
"554","age_group3 to 12 Years",-0.03,0.037,0.414,0.97,"meropenem","Escherichia coli"
"555","age_group13 to 18 Years",-0.009,0.048,0.847,0.991,"meropenem","Escherichia coli"
"556","age_group65 to 84 Years",-0.039,0.015,0.009,0.962,"meropenem","Escherichia coli"
"557","age_group85 and Over",-0.026,0.024,0.286,0.974,"meropenem","Escherichia coli"
"558","genderm",0.019,0.014,0.156,1.019,"meropenem","Escherichia coli"
"559","key_sourceblood",0.903,0.021,0,2.468,"meropenem","Escherichia coli"
"560","key_sourcegastro",-0.355,0.027,0,0.702,"meropenem","Escherichia coli"
"561","key_sourcerespiratory",-0.115,0.024,0,0.892,"meropenem","Escherichia coli"
"562","key_sourceurine",0.022,0.02,0.275,1.023,"meropenem","Escherichia coli"
"563","key_sourcewound",-0.195,0.023,0,0.823,"meropenem","Escherichia coli"
"564","year_scaled",-0.051,0.002,0,0.951,"meropenem","Escherichia coli"
"565","age_group0 to 2 Years",-0.381,0.227,0.093,0.683,"meropenem vaborbactam","Escherichia coli"
"566","age_group3 to 12 Years",-0.454,0.28,0.105,0.635,"meropenem vaborbactam","Escherichia coli"
"567","age_group13 to 18 Years",0.176,0.282,0.533,1.193,"meropenem vaborbactam","Escherichia coli"
"568","age_group65 to 84 Years",-0.063,0.098,0.515,0.938,"meropenem vaborbactam","Escherichia coli"
"569","age_group85 and Over",-0.553,0.203,0.006,0.575,"meropenem vaborbactam","Escherichia coli"
"570","genderm",0.374,0.093,0,1.453,"meropenem vaborbactam","Escherichia coli"
"571","key_sourceblood",-0.396,0.165,0.016,0.673,"meropenem vaborbactam","Escherichia coli"
